Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted
IT Support Specialist,"Memberikan bantuan teknis dan pemecahan masalah perangkat keras, perangkat lunak, dan sistem untuk memastikan operasional IT berjalan lancar seperti menggunakan Windows, Troubleshooting.","Windows, Troubleshooting","£35,000 - £55,000",Leeds,IT Support Specialists,Junior,Support,Full-Time,2023-12-20
Data Analytics Manager,"Memimpin tim dan strategi analitik data untuk mendukung pengambilan keputusan berbasis data seperti menggunakan Data Analytics, Team Management.","Data Analytics, Team Management","£70,000 - £110,000",Cardiff,Data Managers,Senior,Analytics,Full-Time,2023-12-25
IT Project Coordinator,Mendukung pelaksanaan proyek melalui koordinasi dan dokumentasi seperti menggunakan Project Coordination.,Project Coordination,"£40,000 - £70,000",London,Project Coordinators,Mid-Level,Project Management,Full-Time,2023-12-30
Cloud Solutions Analyst,"Menganalisis dan merekomendasikan layanan serta arsitektur cloud seperti menggunakan AWS, Azure, Cloud Analysis.","AWS, Azure, Cloud Analysis","£45,000 - £75,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,2023-12-31
IT Governance Manager,"Menyusun tata kelola IT dan menyelaraskan strategi IT dengan tujuan organisasi seperti menggunakan IT Governance, Compliance.","IT Governance, Compliance","£65,000 - £100,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,2022-01-05
Cybersecurity Engineer,"Merancang dan mengimplementasikan sistem serta mekanisme pertahanan keamanan seperti menggunakan Cybersecurity, Penetration Testing.","Cybersecurity, Penetration Testing","£55,000 - £90,000",Edinburgh,Cybersecurity Engineers,Mid-Level,Security,Full-Time,2022-02-10
IT Procurement Analyst,Menganalisis kebutuhan dan biaya pengadaan IT seperti menggunakan Procurement Analysis.,Procurement Analysis,"£50,000 - £85,000",Glasgow,Procurement Analysts,Mid-Level,Procurement,Full-Time,2022-03-15
UX Designer,"Merancang pengalaman pengguna yang intuitif melalui riset dan pengujian kegunaan seperti menggunakan UX Design, Prototyping.","UX Design, Prototyping","£45,000 - £75,000",Leeds,UX Designers,Mid-Level,Design,Full-Time,2022-04-20
Software Engineer,"Merancang, mengembangkan, dan memelihara sistem perangkat lunak yang skalabel dengan praktik rekayasa perangkat lunak menggunakan seperti Java, Python, Software Development.","Java, Python, Software Development","£50,000 - £80,000",London,Tech Solutions,Mid-Level,Software Development,Full-Time,2022-01-05
Data Analyst,"Menganalisis dan menginterpretasikan data terstruktur untuk menghasilkan insight dan laporan seperti menggunakan SQL, Data Visualization.","SQL, Data Visualization","£40,000 - £65,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,2022-02-10
Network Engineer,"Merancang, mengonfigurasi, memonitor, dan memelihara jaringan LAN, WAN, dan internet untuk mendukung operasional organisasi seperti menggunakan Cisco, Network Troubleshooting.","Cisco, Network Troubleshooting","£45,000 - £75,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,2022-03-15
Cloud Architect,"Merancang arsitektur berbasis cloud yang skalabel dan aman seperti menggunakan AWS, Azure, Cloud Architecture.","AWS, Azure, Cloud Architecture","£60,000 - £90,000",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time,2022-04-20
Cybersecurity Analyst,"Memonitor sistem dan jaringan untuk mendeteksi serta mencegah ancaman keamanan seperti menggunakan Cybersecurity, Threat Analysis.","Cybersecurity, Threat Analysis","£50,000 - £80,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,2022-05-25
IT Project Manager,"Merencanakan dan mengelola proyek IT agar selesai tepat waktu dan sesuai target seperti menggunakan PMP, Agile, Project Management.","PMP, Agile, Project Management","£70,000 - £100,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,2022-06-30
Data Scientist,"Mengekstraksi insight dari data skala besar menggunakan statistik, machine learning, dan teknik AI dengan seperti R, Python, Machine Learning.","R, Python, Machine Learning","£55,000 - £85,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,2022-07-05
DevOps Engineer,"Mengotomatiskan dan mengoptimalkan pipeline CI/CD serta infrastruktur seperti menggunakan Docker, Jenkins, DevOps.","Docker, Jenkins, DevOps","£50,000 - £75,000",Cardiff,DevOps Solutions,Mid-Level,DevOps,Full-Time,2022-08-10
IT Support Analyst,"Menganalisis dan menyelesaikan permasalahan IT yang kompleks, meningkatkan keandalan sistem, serta mendukung pengguna akhir seperti menggunakan Windows, Linux, Troubleshooting.","Windows, Linux, Troubleshooting","£30,000 - £45,000",London,IT Services,Entry-Level,Support,Full-Time,2022-09-15
UX/UI Designer,"Merancang pengalaman pengguna dan antarmuka pengguna untuk produk digital seperti menggunakan UI/UX Design, Prototyping.","UI/UX Design, Prototyping","£40,000 - £70,000",Manchester,Design Studios,Junior,Design,Full-Time,2022-10-20
Database Analyst,"Menganalisis struktur database dan mengoptimalkan penggunaan data seperti menggunakan SQL, Oracle, Database Management.","SQL, Oracle, Database Management","£40,000 - £65,000",Birmingham,Data Solutions,Mid-Level,Database,Full-Time,2022-11-25
UI Developer,"Mengimplementasikan desain UI/UX menjadi antarmuka yang fungsional dan menarik seperti menggunakan HTML, CSS, JavaScript.","HTML, CSS, JavaScript","£35,000 - £55,000",Edinburgh,Web Creations,Junior,Web Development,Full-Time,2022-12-10
System Administrator,"Menginstal, mengonfigurasi, dan memelihara server serta sistem operasi untuk memastikan ketersediaan sistem  seperti menggunakan Windows Server, Networking.","Windows Server, Networking","£45,000 - £70,000",Glasgow,System Services,Mid-Level,IT Services,Full-Time,2022-12-15
AI/ML Engineer,"Merancang dan menerapkan model kecerdasan buatan dan machine learning ke lingkungan produksi seperti menggunakan Python, TensorFlow, AI/ML.","Python, TensorFlow, AI/ML","£55,000 - £85,000",Leeds,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,2022-12-20
IT Auditor,"Melakukan audit sistem dan proses IT untuk memastikan kontrol dan kepatuhan seperti menggunakan Audit, Risk Management.","Audit, Risk Management","£50,000 - £80,000",Bristol,Audit Experts,Mid-Level,Audit,Full-Time,2022-12-25
Network Security Engineer,"Mengamankan infrastruktur jaringan dari ancaman siber seperti menggunakan Security, Firewall.","Security, Firewall","£55,000 - £90,000",Newcastle,SecureNet,Mid-Level,Security,Full-Time,2022-12-30
Software Tester,"Menguji aplikasi perangkat lunak untuk menemukan bug dan memastikan fungsionalitas sistem seperti menggunakan Manual Testing, Bug Tracking.","Manual Testing, Bug Tracking","£30,000 - £50,000",Cardiff,QA Solutions,Entry-Level,Quality Assurance,Full-Time,2022-05-25
Cloud Solutions Architect,"Mengembangkan solusi cloud yang selaras dengan kebutuhan bisnis seperti menggunakan AWS, Azure, Cloud Architecture.","AWS, Azure, Cloud Architecture","£60,000 - £90,000",London,Cloud Architects,Senior,Cloud Computing,Full-Time,2022-06-30
IT Consultant,"Memberikan rekomendasi dan solusi strategis IT bagi organisasi seperti menggunakan Consulting, IT Strategy.","Consulting, IT Strategy","£60,000 - £90,000",Manchester,IT Consultants,Senior,Consulting,Full-Time,2022-07-05
Front-end Developer,"Membangun antarmuka pengguna yang responsif dan interaktif dengan fokus pada pengalaman pengguna  seperti menggunakan JavaScript, React.","JavaScript, React","£40,000 - £75,000",Birmingham,Web Studios,Mid-Level,Web Development,Full-Time,2022-08-10
Business Analyst,"Menganalisis proses bisnis dan merekomendasikan perbaikan seperti menggunakan Business Analysis, Requirements.","Business Analysis, Requirements","£45,000 - £80,000",Edinburgh,Biz Analysts,Mid-Level,Business Analysis,Full-Time,2022-09-15
IT Helpdesk Support,"Menjadi titik kontak pertama untuk permasalahan IT dan menyelesaikan kendala teknis dasar seperti menggunakan Troubleshooting, Customer Service.","Troubleshooting, Customer Service","£25,000 - £40,000",Glasgow,IT Helpdesk,Entry-Level,Support,Full-Time,2022-10-20
DevSecOps Engineer,"Mengintegrasikan praktik keamanan ke dalam pipeline DevOps seperti menggunakan DevSecOps, CI/CD.","DevSecOps, CI/CD","£60,000 - £95,000",Leeds,Secure DevOps,Mid-Level,DevOps,Full-Time,2022-11-25
Data Engineer,"Membangun dan memelihara pipeline serta infrastruktur data untuk mendukung analitik seperti menggunakan ETL, Big Data, SQL.","ETL, Big Data, SQL","£50,000 - £85,000",Bristol,Data Engineers,Mid-Level,Data Engineering,Full-Time,2022-12-10
IT Trainer,"Menyelenggarakan pelatihan untuk meningkatkan keterampilan teknis seperti menggunakan Training, IT Education.","Training, IT Education","£35,000 - £60,000",Newcastle,IT Training,Junior,Education,Full-Time,2022-12-15
Cloud Security Engineer,"Mengimplementasikan kontrol dan kebijakan keamanan pada infrastruktur cloud seperti menggunakan Cloud Security, Encryption.","Cloud Security, Encryption","£65,000 - £100,000",Cardiff,SecureCloud,Mid-Level,Security,Full-Time,2022-12-20
IT Procurement Specialist,"Menangani proses pengadaan barang dan jasa IT secara efisien seperti menggunakan Procurement, Vendor Management.","Procurement, Vendor Management","£50,000 - £80,000",Edinburgh,ProcureIT,Mid-Level,Procurement,Full-Time,2022-12-25
UX Researcher,"Melakukan riset pengguna untuk memahami perilaku dan meningkatkan kegunaan produk seperti menggunakan User Research, UX Design.","User Research, UX Design","£45,000 - £75,000",Glasgow,UX Labs,Mid-Level,Design,Full-Time,2022-12-30
Blockchain Developer,"Mengembangkan aplikasi terdesentralisasi dan smart contract pada platform blockchain seperti menggunakan Blockchain, Solidity.","Blockchain, Solidity","£55,000 - £90,000",Leeds,Blockchain Tech,Mid-Level,Blockchain,Full-Time,2023-01-01
IT Risk Analyst,"Mengidentifikasi dan mengelola risiko IT terhadap operasional bisnis seperti menggunakan Risk Assessment, Compliance.","Risk Assessment, Compliance","£50,000 - £80,000",Cardiff,Risk Analysts,Mid-Level,Risk Management,Full-Time,2023-01-02
Cloud Support Engineer,"Memberikan dukungan teknis dan operasional untuk lingkungan cloud seperti menggunakan AWS, Azure, Cloud Services.","AWS, Azure, Cloud Services","£40,000 - £70,000",London,Cloud Support,Junior,Support,Full-Time,2023-01-03
IT Sales Manager,"Memimpin strategi penjualan produk dan layanan IT seperti menggunakan Sales, IT Sales.","Sales, IT Sales","£70,000 - £110,000",Manchester,Sales Leaders,Senior,Sales,Full-Time,2023-01-04
Data Privacy Officer,"Memastikan perlindungan dan penggunaan data pribadi secara sah seperti menggunakan GDPR, Data Protection.","GDPR, Data Protection","£55,000 - £85,000",Birmingham,Data Privacy,Mid-Level,Data Privacy,Full-Time,2023-01-05
Software Architect,"Menentukan arsitektur sistem dan standar teknis untuk solusi perangkat lunak yang skalabel seperti menggunakan Architecture, Design Patterns.","Architecture, Design Patterns","£75,000 - £120,000",Edinburgh,Software Architects,Senior,Software Design,Full-Time,2023-01-06
IT Quality Analyst,"Menganalisis, menguji, dan mengevaluasi sistem serta proses IT untuk memastikan kualitas, kepatuhan, dan keandalan layanan menggunakan QA, Testing.","QA, Testing","£45,000 - £75,000",Glasgow,QA Analysts,Mid-Level,Quality Assurance,Full-Time,2023-01-07
Mobile App Developer,"Merancang dan mengembangkan aplikasi mobile untuk platform Android atau iOS seperti menggunakan iOS, Android, Mobile Development.","iOS, Android, Mobile Development","£50,000 - £90,000",Leeds,Mobile Devs,Mid-Level,Mobile Development,Full-Time,2023-01-08
IT Procurement Manager,"Mengelola strategi pengadaan IT dan hubungan dengan vendor seperti menggunakan Procurement, Supply Chain.","Procurement, Supply Chain","£70,000 - £110,000",Cardiff,Procurement Mgmt,Senior,Procurement,Full-Time,2023-01-09
IT Compliance Officer,"Memastikan operasional IT sesuai dengan regulasi dan kebijakan yang berlaku seperti menggunakan Compliance, Regulations.","Compliance, Regulations","£60,000 - £95,000",London,Compliance Experts,Mid-Level,Compliance,Full-Time,2023-01-10
Full-stack Developer,"Mengembangkan komponen front-end dan back-end aplikasi, termasuk integrasi database dan API seperti menggunakan JavaScript, Node.js.","JavaScript, Node.js","£55,000 - £90,000",Manchester,Full-stack Devs,Mid-Level,Web Development,Full-Time,2023-01-11
IT Business Analyst,"Menjembatani kebutuhan bisnis dan solusi IT melalui analisis dan dokumentasi seperti menggunakan Business Analysis, IT Strategy.","Business Analysis, IT Strategy","£50,000 - £85,000",Birmingham,IT Analysts,Mid-Level,Business Analysis,Full-Time,2023-01-12
IT Trainer Assistant,"Mendukung pelaksanaan pelatihan IT dan persiapan materi seperti menggunakan Training, IT Education.","Training, IT Education","£30,000 - £50,000",Edinburgh,IT Training Assist,Entry-Level,Education,Full-Time,2023-01-13
AI Ethics Consultant,"Memastikan penggunaan teknologi AI yang etis, adil, dan bertanggung jawab seperti menggunakan Ethics, AI Governance.","Ethics, AI Governance","£60,000 - £100,000",Glasgow,AI Ethics,Mid-Level,Ethics,Full-Time,2023-01-14
IT Support Specialist,"Memberikan bantuan teknis dan pemecahan masalah perangkat keras, perangkat lunak, dan sistem untuk memastikan operasional IT berjalan lancar seperti menggunakan Windows, Troubleshooting.","Windows, Troubleshooting","£35,000 - £55,000",Leeds,IT Support Specialists,Junior,Support,Full-Time,2023-01-15
Data Analytics Manager,"Memimpin tim dan strategi analitik data untuk mendukung pengambilan keputusan berbasis data seperti menggunakan Data Analytics, Team Management.","Data Analytics, Team Management","£70,000 - £110,000",Cardiff,Data Managers,Senior,Analytics,Full-Time,2023-01-16
IT Project Coordinator,Mendukung pelaksanaan proyek melalui koordinasi dan dokumentasi seperti menggunakan Project Coordination.,Project Coordination,"£40,000 - £70,000",London,Project Coordinators,Mid-Level,Project Management,Full-Time,2023-01-17
Cloud Solutions Analyst,"Menganalisis dan merekomendasikan layanan serta arsitektur cloud seperti menggunakan AWS, Azure, Cloud Analysis.","AWS, Azure, Cloud Analysis","£45,000 - £75,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,2023-01-18
IT Governance Manager,"Menyusun tata kelola IT dan menyelaraskan strategi IT dengan tujuan organisasi seperti menggunakan IT Governance, Compliance.","IT Governance, Compliance","£65,000 - £100,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,2023-01-19
Cybersecurity Engineer,"Merancang dan mengimplementasikan sistem serta mekanisme pertahanan keamanan seperti menggunakan Cybersecurity, Penetration Testing.","Cybersecurity, Penetration Testing","£55,000 - £90,000",Edinburgh,Cybersecurity Engineers,Mid-Level,Security,Full-Time,2023-01-20
IT Procurement Analyst,Menganalisis kebutuhan dan biaya pengadaan IT seperti menggunakan Procurement Analysis.,Procurement Analysis,"£50,000 - £85,000",Glasgow,Procurement Analysts,Mid-Level,Procurement,Full-Time,2023-01-21
UX Designer,"Merancang pengalaman pengguna yang intuitif melalui riset dan pengujian kegunaan seperti menggunakan UX Design, Prototyping.","UX Design, Prototyping","£45,000 - £75,000",Leeds,UX Designers,Mid-Level,Design,Full-Time,2023-01-22
Software Developer,"Mengembangkan, menguji, dan memelihara aplikasi perangkat lunak sesuai kebutuhan bisnis menggunakan Java, JavaScript, HTML/CSS.","Java, JavaScript, HTML/CSS","£45,000 - £75,000",London,Tech Innovations,Mid-Level,Software Development,Full-Time,2021-03-15
Data Analyst,"Menganalisis dan menginterpretasikan data terstruktur untuk menghasilkan insight dan laporan seperti menggunakan SQL, Excel, Data Analysis.","SQL, Excel, Data Analysis","£40,000 - £70,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,2021-04-20
Network Engineer,"Merancang, mengonfigurasi, memonitor, dan memelihara jaringan LAN, WAN, dan internet untuk mendukung operasional organisasi seperti menggunakan Cisco, Networking.","Cisco, Networking","£50,000 - £80,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,2021-06-10
Cloud Architect,"Merancang arsitektur berbasis cloud yang skalabel dan aman seperti menggunakan AWS, Azure, Cloud Design.","AWS, Azure, Cloud Design","£60,000 - £95,000",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time,2021-08-25
Cybersecurity Analyst,"Memonitor sistem dan jaringan untuk mendeteksi serta mencegah ancaman keamanan seperti menggunakan Cybersecurity, Threat Detection.","Cybersecurity, Threat Detection","£55,000 - £90,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,2021-10-05
IT Project Manager,"Merencanakan dan mengelola proyek IT agar selesai tepat waktu dan sesuai target seperti menggunakan Project Management, Agile.","Project Management, Agile","£70,000 - £110,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,2021-11-15
Data Scientist,"Mengekstraksi insight dari data skala besar menggunakan statistik, machine learning, dan teknik AI dengan seperti Python, Machine Learning.","Python, Machine Learning","£65,000 - £100,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,2021-12-20
IT Support Specialist,"Memberikan bantuan teknis dan pemecahan masalah perangkat keras, perangkat lunak, dan sistem untuk memastikan operasional IT berjalan lancar seperti menggunakan Windows, Troubleshooting.","Windows, Troubleshooting","£40,000 - £70,000",Cardiff,IT Support Experts,Junior,Support,Full-Time,2021-02-10
Full-stack Developer,"Mengembangkan komponen front-end dan back-end aplikasi, termasuk integrasi database dan API seperti menggunakan JavaScript, Node.js, HTML/CSS.","JavaScript, Node.js, HTML/CSS","£50,000 - £85,000",London,Web Creations,Mid-Level,Web Development,Full-Time,2021-03-20
Data Analyst,"Menganalisis dan menginterpretasikan data terstruktur untuk menghasilkan insight dan laporan seperti menggunakan SQL, Excel, Data Analysis.","SQL, Excel, Data Analysis","£45,000 - £75,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,2021-04-15
Network Engineer,"Merancang, mengonfigurasi, memonitor, dan memelihara jaringan LAN, WAN, dan internet untuk mendukung operasional organisasi seperti menggunakan Cisco, Networking.","Cisco, Networking","£55,000 - £90,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,2021-05-12
Cloud Architect,"Merancang arsitektur berbasis cloud yang skalabel dan aman seperti menggunakan AWS, Azure, Cloud Design.","AWS, Azure, Cloud Design","£70,000 - £110,000",Edinburgh,Cloud Innovations,Senior,Cloud Computing,Full-Time,2021-06-25
Cybersecurity Analyst,"Memonitor sistem dan jaringan untuk mendeteksi serta mencegah ancaman keamanan seperti menggunakan Cybersecurity, Threat Detection.","Cybersecurity, Threat Detection","£60,000 - £95,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,2021-07-18
IT Project Manager,"Merencanakan dan mengelola proyek IT agar selesai tepat waktu dan sesuai target seperti menggunakan Project Management, Agile.","Project Management, Agile","£75,000 - £120,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,2021-08-30
Data Scientist,"Mengekstraksi insight dari data skala besar menggunakan statistik, machine learning, dan teknik AI dengan seperti Python, Machine Learning.","Python, Machine Learning","£65,000 - £100,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,2021-09-14
Cloud Solutions Analyst,"Menganalisis dan merekomendasikan layanan serta arsitektur cloud seperti menggunakan AWS, Azure, Cloud Analysis.","AWS, Azure, Cloud Analysis","£55,000 - £90,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,2021-10-22
IT Governance Manager,"Menyusun tata kelola IT dan menyelaraskan strategi IT dengan tujuan organisasi seperti menggunakan IT Governance, Compliance.","IT Governance, Compliance","£80,000 - £130,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,2021-11-09
Software Developer,"Mengembangkan, menguji, dan memelihara aplikasi perangkat lunak sesuai kebutuhan bisnis menggunakan Java, Python, Software Development.","Java, Python, Software Development","£50,000 - £85,000",Bristol,Tech Solutions,Mid-Level,Software Development,Full-Time,2021-12-04
IT Support Specialist,"Memberikan bantuan teknis dan pemecahan masalah perangkat keras, perangkat lunak, dan sistem untuk memastikan operasional IT berjalan lancar seperti menggunakan Windows, Troubleshooting.","Windows, Troubleshooting","£40,000 - £70,000",Cardiff,IT Support Experts,Junior,Support,Full-Time,2021-02-10
Full-stack Developer,"Mengembangkan komponen front-end dan back-end aplikasi, termasuk integrasi database dan API seperti menggunakan JavaScript, Node.js, HTML/CSS.","JavaScript, Node.js, HTML/CSS","£50,000 - £85,000",London,Web Creations,Mid-Level,Web Development,Full-Time,2021-03-20
Data Analyst,"Menganalisis dan menginterpretasikan data terstruktur untuk menghasilkan insight dan laporan seperti menggunakan SQL, Excel, Data Analysis.","SQL, Excel, Data Analysis","£45,000 - £75,000",Manchester,Data Insights,Junior,Data Analysis,Full-Time,2021-04-15
Network Engineer,"Merancang, mengonfigurasi, memonitor, dan memelihara jaringan LAN, WAN, dan internet untuk mendukung operasional organisasi seperti menggunakan Cisco, Networking.","Cisco, Networking","£55,000 - £90,000",Birmingham,Network Experts,Mid-Level,Networking,Full-Time,2021-05-12
Cloud Architect,"Merancang arsitektur berbasis cloud yang skalabel dan aman seperti menggunakan AWS, Azure, Cloud Design.","AWS, Azure, Cloud Design","£70,000 - £110,000",Edinburgh,Cloud Innovations,Senior,Cloud Computing,Full-Time,2021-06-25
Cybersecurity Analyst,"Memonitor sistem dan jaringan untuk mendeteksi serta mencegah ancaman keamanan seperti menggunakan Cybersecurity, Threat Detection.","Cybersecurity, Threat Detection","£60,000 - £95,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,2021-07-18
IT Project Manager,"Merencanakan dan mengelola proyek IT agar selesai tepat waktu dan sesuai target seperti menggunakan Project Management, Agile.","Project Management, Agile","£75,000 - £120,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,2021-08-30
Data Scientist,"Mengekstraksi insight dari data skala besar menggunakan statistik, machine learning, dan teknik AI dengan seperti Python, Machine Learning.","Python, Machine Learning","£65,000 - £100,000",Sheffield,Data Insights,Mid-Level,Data Science,Full-Time,2021-09-14
Cloud Solutions Analyst,"Menganalisis dan merekomendasikan layanan serta arsitektur cloud seperti menggunakan AWS, Azure, Cloud Analysis.","AWS, Azure, Cloud Analysis","£55,000 - £90,000",Manchester,Cloud Analysts,Mid-Level,Cloud Computing,Full-Time,2021-10-22
IT Governance Manager,"Menyusun tata kelola IT dan menyelaraskan strategi IT dengan tujuan organisasi seperti menggunakan IT Governance, Compliance.","IT Governance, Compliance","£80,000 - £130,000",Birmingham,IT Governance Mgmt,Senior,Governance,Full-Time,2021-11-09
Software Developer,"Mengembangkan, menguji, dan memelihara aplikasi perangkat lunak sesuai kebutuhan bisnis menggunakan Java, Python, Software Development.","Java, Python, Software Development","£50,000 - £85,000",Bristol,Tech Solutions,Mid-Level,Software Development,Full-Time,2021-12-04
IT Support Specialist,"Memberikan bantuan teknis dan pemecahan masalah perangkat keras, perangkat lunak, dan sistem untuk memastikan operasional IT berjalan lancar seperti menggunakan Windows, Troubleshooting.","Windows, Troubleshooting","£42,000 - £72,000",Glasgow,IT Solutions,Junior,Support,Full-Time,2021-02-28
DevOps Engineer,"Mengotomatiskan dan mengoptimalkan pipeline CI/CD serta infrastruktur seperti menggunakan Docker, Jenkins, DevOps.","Docker, Jenkins, DevOps","£55,000 - £90,000",London,DevOps Solutions,Mid-Level,DevOps,Full-Time,2021-03-25
Database Administrator,"Mengelola sistem basis data untuk memastikan performa, keamanan, dan ketersediaan seperti menggunakan SQL, Database Management.","SQL, Database Management","£50,000 - £85,000",Manchester,Data Management,Mid-Level,Database,Full-Time,2021-04-19
UX Designer,"Merancang pengalaman pengguna yang intuitif melalui riset dan pengujian kegunaan seperti menggunakan UX Design, Prototyping.","UX Design, Prototyping","£45,000 - £75,000",Birmingham,UX Innovations,Junior,Design,Full-Time,2021-05-15
IT Consultant,"Memberikan rekomendasi dan solusi strategis IT bagi organisasi seperti menggunakan Consulting, IT Strategy.","Consulting, IT Strategy","£75,000 - £120,000",Edinburgh,IT Consultancy,Senior,Consulting,Full-Time,2021-06-30
Software Tester,"Menguji aplikasi perangkat lunak untuk menemukan bug dan memastikan fungsionalitas sistem seperti menggunakan Manual Testing, Bug Tracking.","Manual Testing, Bug Tracking","£40,000 - £70,000",Glasgow,QA Solutions,Junior,Quality Assurance,Full-Time,2021-07-22
IT Security Analyst,"Menganalisis kerentanan dan memastikan perlindungan aset IT seperti menggunakan Security, Threat Analysis.","Security, Threat Analysis","£50,000 - £85,000",Leeds,SecureIT,Mid-Level,Security,Full-Time,2021-08-17
Data Engineer,"Membangun dan memelihara pipeline serta infrastruktur data untuk mendukung analitik seperti menggunakan ETL, Big Data, SQL.","ETL, Big Data, SQL","£60,000 - £95,000",Bristol,Data Engineers,Mid-Level,Data Engineering,Full-Time,2021-09-09
Front-end Developer,"Membangun antarmuka pengguna yang responsif dan interaktif dengan fokus pada pengalaman pengguna  seperti menggunakan HTML, CSS, JavaScript.","HTML, CSS, JavaScript","£45,000 - £75,000",Sheffield,Web Studios,Mid-Level,Web Development,Full-Time,2021-10-02
AI/ML Engineer,"Merancang dan menerapkan model kecerdasan buatan dan machine learning ke lingkungan produksi seperti menggunakan Python, TensorFlow, AI/ML.","Python, TensorFlow, AI/ML","£70,000 - £110,000",Newcastle,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,2021-11-27
IT Auditor,"Melakukan audit sistem dan proses IT untuk memastikan kontrol dan kepatuhan seperti menggunakan Audit, Risk Management.","Audit, Risk Management","£55,000 - £90,000",Cardiff,Audit Experts,Mid-Level,Audit,Full-Time,2021-12-22
IT Trainer,"Menyelenggarakan pelatihan untuk meningkatkan keterampilan teknis seperti menggunakan Training, IT Education.","Training, IT Education","£35,000 - £60,000",Liverpool,IT Training,Junior,Education,Full-Time,2021-02-15
Cloud Security Engineer,"Mengimplementasikan kontrol dan kebijakan keamanan pada infrastruktur cloud seperti menggunakan Cloud Security, Encryption.","Cloud Security, Encryption","£70,000 - £110,000",Nottingham,SecureCloud,Mid-Level,Security,Full-Time,2021-03-12
IT Procurement Specialist,"Menangani proses pengadaan barang dan jasa IT secara efisien seperti menggunakan Procurement, Vendor Management.","Procurement, Vendor Management","£55,000 - £90,000",Sheffield,ProcureIT,Mid-Level,Procurement,Full-Time,2021-04-05
UX Researcher,"Melakukan riset pengguna untuk memahami perilaku dan meningkatkan kegunaan produk seperti menggunakan User Research, UX Design.","User Research, UX Design","£48,000 - £80,000",Bristol,UX Labs,Junior,Design,Full-Time,2021-05-01
Blockchain Developer,"Mengembangkan aplikasi terdesentralisasi dan smart contract pada platform blockchain seperti menggunakan Blockchain, Solidity.","Blockchain, Solidity","£65,000 - £100,000",Liverpool,Blockchain Tech,Mid-Level,Blockchain,Full-Time,2021-06-18
IT Risk Analyst,"Mengidentifikasi dan mengelola risiko IT terhadap operasional bisnis seperti menggunakan Risk Assessment, Compliance.","Risk Assessment, Compliance","£50,000 - £85,000",Nottingham,Risk Analysts,Mid-Level,Risk Management,Full-Time,2021-07-14
Cloud Support Engineer,"Memberikan dukungan teknis dan operasional untuk lingkungan cloud seperti menggunakan AWS, Azure, Cloud Services.","AWS, Azure, Cloud Services","£45,000 - £75,000",Sheffield,Cloud Support,Junior,Support,Full-Time,2021-08-09
IT Sales Manager,"Memimpin strategi penjualan produk dan layanan IT seperti menggunakan Sales, IT Sales.","Sales, IT Sales","£80,000 - £130,000",Manchester,Sales Leaders,Senior,Sales,Full-Time,2021-09-04
Data Privacy Officer,"Memastikan perlindungan dan penggunaan data pribadi secara sah seperti menggunakan GDPR, Data Protection.","GDPR, Data Protection","£60,000 - £95,000",Birmingham,Data Privacy,Mid-Level,Data Privacy,Full-Time,2021-10-30
Software Architect,"Menentukan arsitektur sistem dan standar teknis untuk solusi perangkat lunak yang skalabel seperti menggunakan Architecture, Design Patterns.","Architecture, Design Patterns","£90,000 - £140,000",Nottingham,Software Architects,Senior,Software Design,Full-Time,2021-11-25
IT Quality Analyst,"Menganalisis, menguji, dan mengevaluasi sistem serta proses IT untuk memastikan kualitas, kepatuhan, dan keandalan layanan menggunakan QA, Testing.","QA, Testing","£55,000 - £90,000",Sheffield,QA Analysts,Mid-Level,Quality Assurance,Full-Time,2021-12-20
